Signatur	STANDORT_Hilfsspalte	STANDORT2	STANDORT3	ZUGANGSNR	EXEMPLARNR	Kurztitel	GTV	HST	Sachgruppe	Ort	"Epoche/
Räume"	ISBN
P 1026s - 1	P 001026s - 1	Zentrale		BV85/94	1587575001	"Insignia regni Hungariae 1. Studien zur Machtsymbolik des mittelalterlichen Ungarn. - 1983. - 193 S. : Ill. (Insignia regni Hungariae ; 1)"	"Insignia regni Hungariae ; 1"	Studien zur Machtsymbolik des mittelalterlichen Ungarn	KO	BALK	"VWZ/FMA;MA/NZ"	963-563-050-6
P 1027	P 001027	Zentrale		BV95/104	1587588001	"Eisenschmidt, Silke: Kammergräber der Wikingerzeit in Altdänemark / von Silke Eisenschmidt (Universitätsforschungen zur ... ; 25 )"	"Universitätsforschungen zur prähistorischen Archäologie ; 25"	Kammergräber der Wikingerzeit in Altdänemark	GRÄ	SK	VWZ/FMA	3-7749-2664-6
P 1027b	P 001027b	Zentrale		BV78/200	1587591001	Instinsky, Hans Ulrich: Das Jahr der Geburt Christi : eine geschichtswissenschaftliche Studie / Hans Ulrich Instinsky		¬Das¬ Jahr der Geburt Christi	GE	AS	"AW;RKZ"	
P 1027h	P 001027h	Zentrale		BV85/292	19759002	Institutionen, Kultur und Gesellschaft im Mittelalter : Festschrift für Josef Fleckenstein zu seinem 65. Geburtstag / hrsg. von Lutz Fenske, Werner Rösener und...		Institutionen, Kultur und Gesellschaft im Mittelalter	"FES;GE"	EU	"VWZ/FMA;MA/NZ"	3-7995-7024-1
P 1027m - 1	P 001027m - 1	Zentrale		BV82/287	1587635001	"Interaction and acculturation in the Mediterranean 1. 1980. (Publications of the Henri Frankfort Foundation ; 6)"	"Publications of the Henri Frankfort Foundation; 6"	1980	KO	MIT	"NEO;BZ;EZ"	
P 1027m - 2	P 001027m - 2	Zentrale		BV83/636	1587639001	"Interaction and acculturation in the Mediterranean 2. 1982. (Publications of the Henri Frankfort Foundation ; 7)"	"Publications of the Henri Frankfort Foundation; 7"	1982	"KO;TEC;VER"	MIT	"NEO;BZ"	
P 1027s	P 001027s	Zentrale		BV85/221	1587598001	Interaktionen der mitteleuropäischen Slawen und anderen Ethnika im 6. - 10. Jahrhundert : Symposium Nove Vozokany 3. - 7. Oktober 1983 / Archäologisches Institut...		Interaktionen der mitteleuropäischen Slawen und anderen Ethnika im 6. - 10. Jahrhundert	"KO;VER"	EU	VWZ/FMA	
P 1028 - 1	P 001028 - 1	Zentrale		BV67/80	1587661001	Inventar der Bodendenkmäler des Amtes für Bodendenkmalpflege im Reg.-Bez. Darmstadt 1. Der Felsberg im Odenwald : mit geologischen und archäologischen... (Band 1)		¬Der¬ Felsberg im Odenwald	"STE;TEC"	D	RKZ	
P 1028 - 2	P 001028 - 2	Zentrale		BV69/161	1587665001	Inventar der Bodendenkmäler des Amtes für Bodendenkmalpflege im Reg.-Bez. Darmstadt 2. Nahrgang, Karl : Vorgeschichtliche Grabhügelgruppen im Offenbacher Wald. - 1959. - 32 S.		Vorgeschichtliche Grabhügelgruppen im Offenbacher Wald	ARF	D	"BZ;EZ"	
P 1028 - 4	P 001028 - 4	Zentrale		BV69/142	1587666001	Inventar der Bodendenkmäler des Amtes für Bodendenkmalpflege im Reg.-Bez. Darmstadt 4. Inventar der ur- und frühgeschichtlichen Geländedenkmäler und Funde des Kreises Bergstrasse. - 1968. - 114, 112 S. : zahlr. Ill.		Inventar der ur- und frühgeschichtlichen Geländedenkmäler und Funde des Kreises Bergstrasse	INV	D	"NEO;BZ;EZ;RKZ"	
P 1028 - 5	P 001028 - 5	Zentrale		BV76/323	1587667001	"Inventar der Bodendenkmäler des Amtes für Bodendenkmalpflege im Reg.-Bez. Darmstadt 5. Inventar der urgeschichtlichen Geländedenkmäler und Funde des Stadt- und Landkreises Gießen. - 1976. - VIII, 256, 109 S. : Ill., Kt. (Materialien zur Vor- und Frühgeschichte von Hessen ; 1)"	Materialien zur Vor- und Frühgeschichte von Hessen , 1	Inventar der urgeschichtlichen Geländedenkmäler und Funde des Stadt- und Landkreises Gießen	INV	D	"PAL/MES;NEO;BZ;EZ"	
P 1029 - 1	P 001029 - 1	Zentrale		BV65/42	1587669001	Inventar der vor- und frühgeschichlichen Denkmäler im Regierungsbezirk Wiesbaden 1. Wurm, Karl : Der Oberlahnkreis. - 1965. - XI, 191 S. : graph. Darst., Kt.		¬Der¬ Oberlahnkreis	INV	D	"NEO;BZ;EZ"	
P 1029 - 2	P 001029 - 2	Zentrale		BV74/116	1587670001	Inventar der vor- und frühgeschichlichen Denkmäler im Regierungsbezirk Wiesbaden 2. Janke, Heinrich : Der Kreis Biedenkopf. - 1973. - IX, 36, 9, 4 S. : Ill., Kt.		¬Der¬ Kreis Biedenkopf	INV	D	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA"	
	P 001030				1595224001			Inventaria archaeologica				
P 1030 - 1	P 001030 - 1	Zentrale		B54/193	1595245001	"Sangmeister, Edward: Grabfunde der südwestdeutschen Schnurkeramik / von Eduard Sangmeister (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 1 = Bl. D 1 - D 10"	Grabfunde der südwestdeutschen Schnurkeramik	"INV;GRÄ"	D	"NEO;BZ"	
P 1030 - 10	P 001030 - 10	Zentrale		BV62/21	1595261001	"Raddatz, Klaus ; Marien, Marcel-Edouard: Metallzeit : germanische Grabfunde der römischen Kaiserzeit aus Schleswig-Holstein / Klaus Raddatz ; Marcel-Edouard Marien (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 10 = Bl. D 91 - D 100"	Metallzeit	"INV;GRÄ"	D	RKZ	
P 1030 - 11	P 001030 - 11	Zentrale		BV62/21	1595263001	"Hingst, Hans ; Marien, Marcel-Edouard: Metallzeit : Grabfunde der jüngeren vorrömischen Eisenzeit aus Schleswig-Holstein / Hans Hingst ; Marcel-Edouard Marien (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H.11 = Bl. D 101 - D 110"	Metallzeit	"INV;GRÄ"	D	EZ	
P 1030 - 12	P 001030 - 12	Zentrale		BV63/203	1595264001	"Behrens, Hermann ; Marien, Marcel-Edouard: Steinzeit - Bronzezeit : die Funde aus dem großen Grabhügel ""Spitzes Hoch"" bei Latdorf, Kr. Bernburg / Hermann Behrens... (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 12 = Bl. D 111 - D 120"	Steinzeit - Bronzezeit	"INV;GRÄ"	D	"NEO;BZ"	
P 1030 - 13	P 001030 - 13	Zentrale		BV63/288	1595265001	"Behrens, Hermann: Steinzeit, Bronzezeit : die Funde aus dem grossen Grabhügel ""Pohlsberg"" bei Latdorf, Kr. Bernburg / Hermann Behrens (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 13 = Bl. D 121 - D 128"	Steinzeit, Bronzezeit	"INV;GRÄ"	D	"NEO;BZ"	
P 1030 - 14	P 001030 - 14	Zentrale		BV67/46	1595266001	"Dehn, Rolf: Grabfunde der frühen Urnenfelderkultur aus Südwestdeutschland / Rolf Dehn (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H .14 = Bl. D 129 - D 132"	Grabfunde der frühen Urnenfelderkultur aus Südwestdeutschland	"INV;GRÄ"	D	BZ	
P 1030 - 15	P 001030 - 15	Zentrale		BV/ohne	1595267001	"Schaaff, Ulrich: Metallzeit : Frühlatènegräber mit Bronzeschmuck aus Rheinhessen / von Ulrich Schaaff (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 15 = Bl. D 133 - D 142"	Metallzeit	"INV;GRÄ"	D	EZ	
P 1030 - 16	P 001030 - 16	Zentrale		BV69/286	1595269001	"Joachim, Hans-Eckart: Metallzeit : Gräber der Urnenfelder-, Hallstatt- und Latènezeit vom Mittelrhein / von Hans-Eckart Joachim (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica: Deutschland ; H. 16 = Bl. D 143 - D 152"	Metallzeit	"INV;GRÄ"	D	"BZ;EZ"	
P 1030 - 17	P 001030 - 17	Zentrale		BV73/91	1595270001	"Laux, Friedrich: Bronzezeitliche Männergräber aus Niedersachsen / Friedrich Laux (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 17 = Bl. D 153 - D 162"	Bronzezeitliche Männergräber aus Niedersachsen	"INV;GRÄ"	D	BZ	
P 1030 - 18	P 001030 - 18	Zentrale		BV79/91	1595271001	"Laux, Friedrich: Bronzezeitliche Frauengräber aus Niedersachsen / von Friedrich Laux (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 18 = Bl. D 163 - D 173"	Bronzezeitliche Frauengräber aus Niedersachsen	"INV;GRÄ"	D	BZ	3-7749-1100-2
P 1030 - 2	P 001030 - 2	Zentrale		B54/260	1595246001	"Müller-Karpe, Hermann: Metallzeitliche Funde aus Süddeutschland / von Hermann Müller-Karpe (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 2 = Bl. D 11 - D 20"	Metallzeitliche Funde aus Süddeutschland	"INV;GRÄ"	D	BZ	
P 1030 - 3	P 001030 - 3	Zentrale		B56/298	1595248001	"Zürn, Hartwig ; Marien, Marcel-Edouard: Hallstattgrabfunde aus Württemberg / von Hartwig Zürn (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 3 = Bl. D 31 - D 40"	Hallstattgrabfunde aus Württemberg	"INV;GRÄ"	D	EZ	
P 1030 - 4	P 001030 - 4	Zentrale		B57/439	1595254001	"Böhner, Kurt ; Marien, Marcel-Edouard: Fränkische Waffengräber aus dem Moselland / Kurt Böhner ; Marcel-Edouard Marien (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica :  Deutschland ; H.  4 = Bl. D 31 - D 40"	Fränkische Waffengräber aus dem Moselland	"INV;GRÄ;MET"	D	VWZ/FMA	
P 1030 - 5	P 001030 - 5	Zentrale		B58/311	1595255001	"Schuldt, Ewald: Metallzeit : Germanische Grabfunde der Jahrhunderte nach Beginn unserer Zeitrechnung aus Mecklenburg / Ewald Schuldt ;... (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 5 = Bl. D 41 - D 50"	Metallzeit	"INV;GRÄ"	D	"RKZ;VWZ/FMA"	
P 1030 - 6	P 001030 - 6	Zentrale		B58/311	1595256001	"Coblenz, Werner: Steinzeit : Grabfunde der Schnurkeramik und Kugelamphoren aus Sachsen / Werner Coblenz (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 6 = Bl. D 51 - D 60"	Steinzeit	"INV;GRÄ"	D	"NEO;BZ"	
P 1030 - 7	P 001030 - 7	Zentrale		B58/311	1595257001	"Coblenz , Werner: Metallzeit : Grabfunde der Lausitzer Kultur aus Sachsen / Werner Coblenz  (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 7 = Bl. D 61 - D 70"	Metallzeit	"INV;GRÄ"	D	BZ	
P 1030 - 8	P 001030 - 8	Zentrale		B61/393	1595258001	"Coblenz, Werner ; Marien, Marcel-Edouard: Metallzeit : Grabfunde der Billendorfer Kultur aus Sachsen / Werner Coblenz ; Marcel-Edouard Marien (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica : Deutschland ; H. 8 = Bl. D 71 - D 79"	Metallzeit	"INV;GRÄ"	D	EZ	
P 1030 - 9	P 001030 - 9	Zentrale		BV/ohne	1595259001	"Kahlke, Hans-Dietrich: Steinzeit : Grabfunde mit Linienbandkeramik aus Thüringen / Hans-Dietrich Kahlke (Inventaria archaeologica : D... ; ...)"	"Inventaria archaeologica :  Deutschland ; H. 9 = Bl. D 80 - D 90"	Steinzeit	"INV;GRÄ"	D	NEO	
	P 001030a				1596201001			Inventaria archaeologica				
P 1030a - 1	P 001030a - 1	Zentrale		B54/213	1595661001	"Marien, Marcel Édouard: Ages des metaux : (Fiches B 1 - B 10)  / Marcel Édouard Marien (Inventaria archaeologica: Be... ; ...)"	"Inventaria archaeologica: Belgique ; Fasc. 1 = B 1 - B 10"	Ages des metaux	"INV;GRÄ"	BEN	BZ	
P 1030a - 2	P 001030a - 2	Zentrale		BV76/319	1595663001	"Amand, Marcel ; Marien, Marcel-Edouard: La tombe de Herstal / M. Amand et M.-E. Marien (Inventaria archaeologica: Be... ; ...)"	"Inventaria archaeologica: Belgique ; Fasc. ; 2 = B 11"	¬La¬ tombe de Herstal	"INV;GRÄ"	BEN	RKZ	
P 1030a - 3	P 001030a - 3	Zentrale		BV83/756	1595665001	"Lefrancq, Janette: La Bortombe de Walsbets : Tumulus Belgo-Romain / par Janette Lefrancq (Inventaria archaeologica : B... ; ...)"	"Inventaria archaeologica : Belgique ; Fasc. 3 =  B 12"	¬La¬ Bortombe de Walsbets	"INV;GRÄ"	BEN	RKZ	
P 1030a - 4	P 001030a - 4	Zentrale		BV90/735	1595666001	"Lefrancq, Janette: Les Tombes Noirmont : Tumulus Belgo-Romain / par Janette Lefrancq (Inventaria archaeologica: Be... ; ...)"	"Inventaria archaeologica: Belgique ; Fasc. 4 = B 13 -14"	Les Tombes Noirmont	"INV;GRÄ"	BEN	RKZ	
	P 001030b				1596204001			Inventaria archaeologica				
P 1030b - 1	P 001030b - 1	Zentrale		B54/625	1595668001	"Joffroy, René ; Audin, R. ; Riquet, Raymond: Ages des metaux / par R. Joffroy ; R. Audin et R. Riquet (Inventaria archaeologica : F... ; ...)"	"Inventaria archaeologica : France ; Fasc.1 =  F1- F6"	Ages des metaux	"INV;GRÄ"	F	"BZ;EZ"	
P 1030b - 2	P 001030b - 2	Zentrale		BV70/322	1595670001	"Audibert, J.: Ages des métaux : Tumuli hallstattiens du Hérault et du Gard ;  / par J. Audibert (Inventaria archaeologica : F... ; ...)"	"Inventaria archaeologica : France ; Fasc.2 = F 7 - F 16"	Ages des métaux	"INV;GRÄ"	F	"BZ;EZ"	
P 1030b - 3	P 001030b - 3	Zentrale		BV70/308	1595672001	"Briard, Jacques: Civilisation des tumulus armoricains / par J. Briard. Avec la collab. d'Y. Onnee (Inventaria archaeologica : F... ; ...)"	"Inventaria archaeologica : France ; Fasc. 3 = F 17 - F 28"	Civilisation des tumulus armoricains	"INV;GRÄ"	F	BZ	
P 1030b - 4	P 001030b - 4	Zentrale		BV76/181	1595675001	"Reboul, R. ; Millotte, J.-P.: Dépots de l'âge du bronze final en Lorraine et en Sarre / par R. Reboul et J.-P. Millotte. Avec la collab. de D. Baudais (Inventaria archaeologica : F... ; ...)"	"Inventaria archaeologica : France ; Fasc. 4 = F 29 - F 49"	Dépots de l'âge du bronze final en Lorraine et en Sarre	"INV;MET"	F	BZ	
P 1030c - 1	P 001030c - 1	Zentrale		B55/43	1595679001	"Grave-groups and hoards of the British Bronze Age 1.  - 1955. - 12 Bl. (Inventaria archaeologica : Great Britain ; ...)"	"Inventaria archaeologica : Great Britain ; 1st Set = GB. 1- 8"		"INV;GRÄ;MET"	BR	BZ	
P 1030c - 2	P 001030c - 2	Zentrale		B56/123	1595680001	"Bronze age hoards in the British Museum / ed. by M. A.Smith (Inventaria archaeologica : G... ; ...)"	"Inventaria archaeologica : Great Britain ; 2nd Set = GB. 9 - 13"	Bronze age hoards in the British Museum	"INV;KAT"	BR	BZ	
P 1030c - 3	P 001030c - 3	Zentrale		B58/442	1607946001	"Grave-groups and hoards of the British Bronze Age 2.  - 1956. - 12 Bl. (Inventaria archaeologica / Great Britain ; ...)"	"Inventaria archaeologica : Great Britain ; 3rd Set : GB. 14 - 18"		"INV;GRÄ;MET"	BR	BZ	
P 1030c - 4	P 001030c - 4	Zentrale		B58/442	1607947001	"Bronze age hoards and grave-groups from the N. E. Midlands / ed. by M. A. Smith (Inventaria archaeologica : G... ; ...)"	"Inventaria archaeologica : Great Britain ; 4th Set = GB. 19 - 24"	Bronze age hoards and grave-groups from the N. E. Midlands	"INV;GRÄ;MET"	BR	BZ	
P 1030c - 5	P 001030c - 5	Zentrale		B58/442	1607948001	"Early and middle bronze age grave-groups and hoards from Scotland / ed. by Stuart Piggott and Margaret Stewart (Inventaria archaeologica : G... ; ...)"	"Inventaria archaeologica : Great Britain ; 5th Set = GB 25-34"	Early and middle bronze age grave-groups and hoards from Scotland	"INV;GRÄ;MET"	BR	BZ	
P 1030c - 6	P 001030c - 6	Zentrale		BV58/442	1607949001	"Late bronze age hoards in the British Museum / ed. by M. A. Smith (Inventaria archaeologica : G... ; ...)"	"Inventaria archaeologica : Great Britain ; 6th Set = GB. 35 - 41"	Late bronze age hoards in the British Museum	"INV;KAT"	BR	BZ	
P 1030c - 7	P 001030c - 7	Zentrale		B59/62	1607950001	"Smith, M. A.: Middle bronze hoards from southern England / ed. by M. A. Smith (Inventaria archaeologica : G... ; ...)"	"Inventaria archaeologica : Great Britain ; 7th Set = GB. 42-47 "	Middle bronze hoards from southern England	"INV;MET"	BR	BZ	
P 1030c - 8	P 001030c - 8	Zentrale		B61/57	1607953001	"Britton, D.: Bronze age grave-groups and hoards in the British Museum / ed. by D. Britton (Inventaria archaeologica : G... ; ...)"	"Inventaria archaeologica : Great Britain ; 8th Set: GB 48 - 54"	Bronze age grave-groups and hoards in the British Museum	"INV;KAT"	BR	BZ	
P 1030c - 9	P 001030c - 9	Zentrale		BV69/41	1607951001	"Britton, D.: Late bronze age finds in the Heathery Burn Cave, Co. Durham / ed. by D. Britton .. (Inventaria archaeologica : G... ; ...)"	"Inventaria archaeologica : Great Britain ; 9th Set = GB. 55"	Late bronze age finds in the Heathery Burn Cave, Co. Durham	"INV;SIE"	BR	BZ	
P 1030d - 1	P 001030d - 1	Zentrale		B56/411	1608101001	"Scheibenreiter, Friedrich: Metallzeitliche Funde aus Niederösterreich / von Friedrich Scheibenreiter (Inventaria archaeologica : Ö... ; ...)"	"Inventaria archaeologica : Österreich ; H. 1 = A 1 - A 10"	Metallzeitliche Funde aus Niederösterreich	"INV;GRÄ;MET"	A	BZ	
P 1030d - 2	P 001030d - 2	Zentrale		B 58/443	1608102001	"Kromer, Karl: Gemeinlebarn : Hügel I / Karl Kromer (Inventaria archaeologica : Ö... ; ...)"	"Inventaria archaeologica : Österreich ; H. 2 = A 11"	Gemeinlebarn	"INV;GRÄ"	A	EZ	
P 1030e - 1	P 001030e - 1	Zentrale		B58/444	1608103001	"Starè, Francè: Tombes Plates à urne à Dobovna en Slovénie et à Velika Gorica en Croatie / par Francè Starè. Publ. par la Société zougoslave... (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 1 = Y 1 - Y 10"	Tombes Plates à urne à Dobovna en Slovénie et à Velika Gorica en Croatie	"INV;GRÄ"	BALK	BZ	
P 1030e - 10	P 001030e - 10	Zentrale		BV68/85	1608116001	"Plesnicar-Gec, Ljudmila: La nécropole romaine à Emona / Ljudmila Plesnicar-Gec (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 10 = Y 89 - Y 102"	La nécropole romaine à Emona	"INV;GRÄ"	BALK	RKZ	
P 1030e - 11	P 001030e - 11	Zentrale		BV69/93	1608118001	"Urleb, Mehtilda: La Nécropole hallstattienne de Krizna gora / par Mehtilda Urleb. Préf. de Stane Gabrovec (Inventaria archaeologica. Ju... ; ...)"	"Inventaria archaeologica. Jugoslavija ; Fasc. 11 =  Y 99 - Y 108"	¬La¬ Nécropole hallstattienne de Krizna gora	"INV;GRÄ"	BALK	BZ	
P 1030e - 12	P 001030e - 12	Zentrale		BV69/93	1608120001	"Bolta, Lojze: Nécropole du bas-empire à Rifnik prés de Sentjur / par Lojze Bolta (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 12 = Y 109 - 118"	Nécropole du bas-empire à Rifnik prés de Sentjur	"INV;GRÄ"	BALK	VWZ/FMA	
P 1030e - 13	P 001030e - 13	Zentrale		BV71/371	1608121001	"Korosec, Paola: La Nécropole de Ptujski grad Ptuj / Paola Korosec ; Red.: M. Garasanin et J. Kastelic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 13 = Y 119 - Y 128"	¬La¬ Nécropole de Ptujski grad Ptuj	"INV;GRÄ"	BALK	VWZ/FMA	
P 1030e - 14	P 001030e - 14	Zentrale		BV73/337	1608123001	"Subic, Zorka: La nécropole romaine à Poetovio / Zorka Subic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 14 = Y 129 - Y 138"	¬La¬ nécropole romaine à Poetovio	"INV;GRÄ"	BALK	RKZ	
P 1030e - 15	P 001030e - 15	Zentrale		BV73/16	1608128001	"Cermanovic-Kuzmanovic, A. ; Srejovic, Dragoslav ; Markovic, C.: Nécropoles romaines à Komini près de Pljevlja / A. Cermanovic-Kuzmanovic ; Dragoslav Srejovic ; C. Markovic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 15 = Y 139 - Y 148"	Nécropoles romaines à Komini près de Pljevlja	"INV;GRÄ"	BALK	RKZ	
P 1030e - 16	P 001030e - 16	Zentrale		BV73/337	1608129001	"Kolsek, Vera: Les Nécropoles de Celeia et de Sempeter / Vera Kolsek (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 16 = Y 149 - Y 158"	¬Les¬ Nécropoles de Celeia et de Sempeter	"INV;GRÄ"	BALK	RKZ	
P 1030e - 17	P 001030e - 17	Zentrale		BV74/165	1608131001	"Nad, Sandor: La Nécropole de Mecka / Sandor Nad (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 17 = Y 159 - Y 168"	¬La¬ Nécropole de Mecka	"INV;GRÄ"	BALK	MA/NZ	
P 1030e - 18	P 001030e - 18	Zentrale		BV80/699	1608132001	"Svoljsak, Drago: Tolmin : la nécropole de l'age du fer ancien / Drago Svoljsak (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 18 =  Y 169 - Y 178"	Tolmin	"INV;GRÄ"	BALK	EZ	
P 1030e - 19	P 001030e - 19	Zentrale		BV80/699	1608133001	"Mikl Curk, Iva: La nécropole de Formin / par Iva Mikl Curk (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica; Jugoslavija ; Fasc. 19 = Y 179 - Y 188"	La nécropole de Formin	"INV;GRÄ"	BALK	"EZ;RKZ"	
P 1030e - 2	P 001030e - 2	Zentrale		B58/444	1608104001	"Garasanin, Milutin V. ; Garasanin, Draga: Sépultures de l'âge des metaux en Serbie / Milutin V. Garasanin ; Draga Garasanin (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 2 = Y 11-20"	Sépultures de l'âge des metaux en Serbie	"INV;GRÄ"	BALK	BZ	
P 1030e - 20	P 001030e - 20	Zentrale		BV77/493	1608135001	"Belosevic, Janko: La nécropole paléocroate Stankovci-Benkovac / Janko Belosevic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 20 = Y 189 - Y 198 "	La nécropole paléocroate Stankovci-Benkovac	"INV;GRÄ"	BALK	VWZ/FMA	
P 1030e - 21	P 001030e - 21	Zentrale		BV80/699	1608136001	"Valic, Andrej: La nécropole slave à Kranj / Andrej Valic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 21 = Y 199 - Y 208"	La nécropole slave à Kranj	"INV;GRÄ"	BALK	VWZ/FMA	
P 1030e - 22	P 001030e - 22	Zentrale		BV80/699	1608137001	"Marjanovic-Vujovic, Gordana: Nécropole médiévale Vinéca / Gordana Marjanovic-Vujovic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica: Jugoslavija ; Fasc. 22 = Y 209 - Y 218"	Nécropole médiévale Vinéca	"INV;GRÄ"	BALK	"VWZ/FMA;MA/NZ"	3-7749-1820-1
P 1030e - 23	P 001030e - 23	Zentrale		BV80/699	1608154001	"Marjanovic-Vujovic, Gordana: Nécropole médiévale Trnjane / Gordana Marjanovic-Vujovic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 23 = Y 219 - Y 228"	Nécropole médiévale Trnjane	"INV;GRÄ"	BALK	"VWZ/FMA;MA/NZ"	3-7749-1821-X
P 1030e - 24	P 001030e - 24	Zentrale		BV80/699	1608143001	"Belosevic, Janko: La nécropole paléocroate Nin -Zdrijac / Janko Belosevic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 24 =  Y 229 - Y 238"	La nécropole paléocroate Nin -Zdrijac	"INV;GRÄ"	BALK	MA/NZ	3-7749-1822-8
P 1030e - 25	P 001030e - 25	Zentrale		BV82/393	1608147001	"Jovanovic, Vojislav ; Vuksanovic, Ljiljana: Maticane : nécropole sud-slave de Xe et XIe siècle / Vojislav Jovanovic ; Ljiljana Vuksanovic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 25 = Y 239 - Y 248"	Maticane	"INV;GRÄ"	BALK	MA/NZ	3-7749-1931-3
P 1030e - 26	P 001030e - 26	Zentrale		BV82/393	1608149001	"Gregl, Zoran: La necropole romaine a Zagreb-Stenjevec / Zoran Gregl (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 26 = Y 249 - Y 258"	¬La¬ necropole romaine a Zagreb-Stenjevec	"INV;GRÄ"	BALK	RKZ	
P 1030e - 27	P 001030e - 27	Zentrale		BV82/393	1608151001	"Knez, Tone: La nécropole de Beletov vrt,  Novo Mesto / par Tone Knez (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 27 = Y 259 - Y 268"	La nécropole de Beletov vrt,  Novo Mesto	"INV;GRÄ"	BALK	RKZ	
P 1030e - 28	P 001030e - 28	Zentrale		BV83/758	1608153001	"Belosevic, Janko: La nécropole paléocroate Kasic, Maklinovo brdo / Janko Belosevic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 28 = Y 269 - Y 278"	¬La¬ nécropole paléocroate Kasic, Maklinovo brdo	"INV;GRÄ"	BALK	MA/NZ	
P 1030e - 3	P 001030e - 3	Zentrale		BV62/22	1608105001	"Covic, Borivoj: Donja Dolina : nécropole de l'age du fer / Borivoj Covic (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; 3 = Y 21 - 30"	Donja Dolina	"INV;GRÄ"	BALK	EZ	
P 1030e - 4	P 001030e - 4	Zentrale		BV62/22	1608106001	"Batovic, Sime: Sepultures de la peuplade illyrienne des liburnes / Sime Batovic ; Réd.: J. Kastelic, M. Garasanin (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 4 = Y 31 - Y 40"	Sepultures de la peuplade illyrienne des liburnes	"INV;MET"	BALK	"BZ;EZ"	
P 1030e - 5	P 001030e - 5	Zentrale		BV62/53	1608107001	"Kromer, Karl ; Gabrovec, Stane: L' Art des situles dans les sépultures hallstattiennes en Slovénie / Karl Kromer ; Stane Gabrovec (Inventaria archaeologica : J... ; ...)"	"Inventaria archaeologica : Jugoslavija ; Fasc. 5 = Y 41 - 46"	¬L'¬ Art des situles dans les sépultures hallstattiennes en Slovénie	"INV;KU"	BALK	EZ	
